,model_id,MSE,MAE,MSE_diff,MAE_diff
0,ECL_96_192,0.159,0.251,0.002,0.002
1,ECL_96_336,0.173,0.267,0.002,0.002
2,ECL_96_720,0.196,0.29,0.002,0.002
3,ECL_96_96,0.138,0.231,0.002,0.002
4,ETTh1_96_192,0.43,0.428,0.005,0.001
5,ETTh1_96_336,0.474,0.45,0.004,0.003
6,ETTh1_96_720,0.484,0.475,0.01,0.005
7,ETTh1_96_96,0.377,0.399,0.005,0.005
8,ETTh2_96_192,0.374,0.396,0.006,0.002
9,ETTh2_96_336,0.421,0.432,0.006,0.007
10,ETTh2_96_720,0.431,0.448,0.005,0.004
11,ETTh2_96_96,0.296,0.346,0.008,0.006
12,ETTm1_96_192,0.366,0.384,0.004,0.004
13,ETTm1_96_336,0.405,0.41,0.006,0.003
14,ETTm1_96_720,0.463,0.445,0.006,0.003
15,ETTm1_96_96,0.317,0.355,0.004,0.003
16,ETTm2_96_192,0.241,0.301,0.002,0.001
17,ETTm2_96_336,0.301,0.34,0.006,0.004
18,ETTm2_96_720,0.401,0.399,0.004,0.002
19,ETTm2_96_96,0.176,0.259,0.002,0.002
20,PEMS03_96_12,0.063,0.162,0.003,0.006
21,PEMS03_96_24,0.078,0.18,0.003,0.003
22,PEMS03_96_48,0.106,0.207,0.003,0.002
23,PEMS03_96_96,0.132,0.23,0.007,0.004
24,PEMS04_96_12,0.068,0.165,0.0,0.001
25,PEMS04_96_24,0.077,0.177,0.001,0.002
26,PEMS04_96_48,0.09,0.193,0.002,0.004
27,PEMS04_96_96,0.103,0.207,0.001,0.002
28,PEMS07_96_12,0.054,0.145,0.001,0.0
29,PEMS07_96_24,0.065,0.158,0.001,0.001
30,PEMS07_96_48,0.083,0.169,0.001,0.005
31,PEMS07_96_96,0.099,0.185,0.002,0.006
32,PEMS08_96_12,0.069,0.167,0.001,0.004
33,PEMS08_96_24,0.09,0.188,0.001,0.002
34,PEMS08_96_48,0.125,0.214,0.003,0.005
35,PEMS08_96_96,0.194,0.223,0.006,0.005
36,solar_96_192,0.227,0.255,0.002,0.002
37,solar_96_336,0.241,0.269,0.003,0.001
38,solar_96_720,0.243,0.272,0.001,0.0
39,solar_96_96,0.195,0.229,0.003,0.005
40,traffic_96_192,0.429,0.268,0.01,0.004
41,traffic_96_336,0.445,0.278,0.007,0.005
42,traffic_96_720,0.508,0.295,0.007,0.005
43,traffic_96_96,0.41,0.252,0.018,0.005
44,weather_96_192,0.21,0.251,0.002,0.001
45,weather_96_336,0.268,0.293,0.004,0.003
46,weather_96_720,0.349,0.346,0.005,0.003
47,weather_96_96,0.164,0.209,0.004,0.002
